"Issue","Validation","Trend","Items"
"Missing field ""acquireLicensePage""","
Not Started","","13"
"Missing field ""copyrightNotice""","
Not Started","","13"
"Missing field ""license""","
Not Started","","13"
"Missing field ""creditText""","
Not Started","","13"
